Time,X,Y,Z,|V|,MAx,MAy,MAz,MAv
"5,422","-5,773,445","-7,325,434","223,839","9,329,777","-5,293","-7,535",337,"9,235"
"5,441","-5,359,009","-7,748,910","-595,668","9,440,308","-5,500","-7,477",174,"9,300"
"5,460","-5,603,724","-7,395,497","-558,385","9,295,531","-5,617","-7,438",-68,"9,340"
"5,485","-5,915,517","-7,372,590","536,397","9,467,636","-5,663","-7,461",-98,"9,383"
"5,499","-6,061,812","-7,512,459","1,093,355","9,714,836","-5,735","-7,507",119,"9,480"
"5,521","-5,750,144","-7,668,111","252,895","9,587,912","-5,833","-7,487",331,"9,516"
"5,539","-5,384,024","-7,765,028","-175,246","9,450,613","-5,778","-7,580",427,"9,555"
"5,564","-5,541,265","-7,409,815","26,940","9,252,659","-5,684","-7,589",299,"9,502"
"5,579","-5,315,674","-7,505,717","462,818","9,209,038","-5,498","-7,587",142,"9,375"
"5,599","-5,419,142","-7,403,934","968,550","9,226,236","-5,415","-7,521",321,"9,285"
"5,619","-5,787,600","-7,253,972","693,121","9,305,741","-5,516","-7,393",538,"9,248"
"5,656","-6,158,107","-6,951,795","668,863","9,311,128","-5,670","-7,279",698,"9,263"
"5,658","-6,317,101","-6,608,140","989,284","9,195,214","-5,920","-7,054",830,"9,260"
"5,680","-6,208,452","-6,437,357","945,173","8,993,209","-6,118","-6,813",824,"9,201"
"5,698","-5,957,798","-6,492,280","549,939","8,828,788","-6,160","-6,622",788,"9,082"
"5,719","-6,334,177","-6,291,110","329,002","8,933,538","-6,204","-6,457",703,"8,988"
"5,738","-6,950,866","-6,169,360","603,703","9,313,431","-6,363","-6,348",607,"9,017"
